央视,#genre#
CCTV-1,http://iptviptv.site:9694/hls/1/index.m3u8
CCTV-2,http://iptviptv.site:9694/hls/2/index.m3u8
CCTV-3,http://iptviptv.site:9694/hls/3/index.m3u8
CCTV-4,http://iptviptv.site:9694/hls/4/index.m3u8
CCTV-5,http://iptviptv.site:9694/hls/5/index.m3u8
CCTV-6,,http://iptviptv.site:9694/hls/6/index.m3u8
CCTV-7,http://iptviptv.site:9694/hls/7/index.m3u8
CCTV-8,http://iptviptv.site:9694/hls/8/index.m3u8
CCTV-9,http://iptviptv.site:9694/hls/9/index.m3u8
CCTV-10,http://iptviptv.site:9694/hls/10/index.m3u8
CCTV-11,http://iptviptv.site:9694/hls/11/index.m3u8
CCTV-12,http://iptviptv.site:9694/hls/12/index.m3u8
CCTV-13,http://iptviptv.site:9694/hls/13/index.m3u8
CCTV-14,http://iptviptv.site:9694/hls/14/index.m3u8
CCTV-15,http://iptviptv.site:9694/hls/15/index.m3u8
CCTV-16,http://iptviptv.site:9694/hls/16/index.m3u8
CCTV-17,http://iptviptv.site:9694/hls/17/index.m3u8

北京,#genre#
北京卫视,http://iptviptv.site:9694/hls/110/index.m3u8
北京文艺,http://iptviptv.site:9694/hls/806/index.m3u8
北京科教,http://iptviptv.site:9694/hls/807/index.m3u8
北京影视,http://iptviptv.site:9694/hls/808/index.m3u8
北京生活,http://iptviptv.site:9694/hls/809/index.m3u8
北京财经,http://iptviptv.site:9694/hls/810/index.m3u8
北京新闻,http://iptviptv.site:9694/hls/811/index.m3u8
北京卡酷少儿,http://iptviptv.site:9694/hls/812/index.m3u8
北京国际,http://iptviptv.site:9694/hls/813/index.m3u8

卫视,#genre#
湖南卫视,http://iptviptv.site:9694/hls/105/index.m3u8
浙江卫视,http://iptviptv.site:9694/hls/106/index.m3u8
江苏卫视,http://iptviptv.site:9694/hls/107/index.m3u8
东方卫视,http://iptviptv.site:9694/hls/108/index.m3u8
安徽卫视,http://iptviptv.site:9694/hls/109/index.m3u8
北京卫视,http://iptviptv.site:9694/hls/110/index.m3u8
天津卫视,http://iptviptv.site:9694/hls/111/index.m3u8
山东卫视,http://iptviptv.site:9694/hls/112/index.m3u8
江西卫视,http://iptviptv.site:9694/hls/113/index.m3u8
湖北卫视,http://iptviptv.site:9694/hls/114/index.m3u8
辽宁卫视,http://iptviptv.site:9694/hls/115/index.m3u8
黑龙江卫视,http://iptviptv.site:9694/hls/116/index.m3u8
贵州卫视,http://iptviptv.site:9694/hls/117/index.m3u8
四川卫视,http://iptviptv.site:9694/hls/118/index.m3u8
河南卫视,http://iptviptv.site:9694/hls/119/index.m3u8
云南卫视,http://iptviptv.site:9694/hls/120/index.m3u8
重庆卫视,http://iptviptv.site:9694/hls/121/index.m3u8
河北卫视,http://iptviptv.site:9694/hls/122/index.m3u8
东南卫视,http://iptviptv.site:9694/hls/123/index.m3u8
广西卫视,http://iptviptv.site:9694/hls/124/index.m3u8
吉林卫视,http://iptviptv.site:9694/hls/125/index.m3u8
陕西卫视,http://iptviptv.site:9694/hls/126/index.m3u8
山西卫视,http://iptviptv.site:9694/hls/127/index.m3u8
内蒙古卫视,http://iptviptv.site:9694/hls/128/index.m3u8
青海卫视,http://iptviptv.site:9694/hls/129/index.m3u8
海南卫视,http://iptviptv.site:9694/hls/130/index.m3u8
宁夏卫视,http://iptviptv.site:9694/hls/131/index.m3u8
西藏卫视,http://iptviptv.site:9694/hls/132/index.m3u8
新疆卫视,http://iptviptv.site:9694/hls/133/index.m3u8
甘肃卫视,http://iptviptv.site:9694/hls/134/index.m3u8
厦门卫视,http://iptviptv.site:9694/hls/135/index.m3u8

香港,#genre#
凤凰中文,http://iptviptv.site:9694/hls/731/index.m3u8
凤凰资询,http://iptviptv.site:9694/hls/732/index.m3u8
凤凰香港,http://iptviptv.site:9694/hls/730/index.m3u8
翡翠台（原版）,http://iptviptv.site:9694/hls/98/index.m3u8
翡翠台,http://iptviptv.site:9694/hls/99/index.m3u8
明珠台,http://iptviptv.site:9694/hls/103/index.m3u8
五星体育,http://iptviptv.site:9694/hls/150/index.m3u8
新闻综合,http://iptviptv.site:9694/hls/151/index.m3u8

地方,#genre#
东方财经,http://iptviptv.site:9694/hls/152/index.m3u8
第一财经,http://iptviptv.site:9694/hls/153/index.m3u8
法治天地,http://iptviptv.site:9694/hls/154/index.m3u8
都市频道,http://iptviptv.site:9694/hls/155/index.m3u8
东方影视,http://iptviptv.site:9694/hls/156/index.m3u8
上海教育,http://iptviptv.site:9694/hls/157/index.m3u8
七彩戏剧,http://iptviptv.site:9694/hls/158/index.m3u8
金色学堂,http://iptviptv.site:9694/hls/159/index.m3u8
重庆黔江,http://iptviptv.site:9694/hls/161/index.m3u8
重庆影视,http://iptviptv.site:9694/hls/162/index.m3u8
重庆新闻,http://iptviptv.site:9694/hls/163/index.m3u8
重庆社会,http://iptviptv.site:9694/hls/164/index.m3u8
重庆时尚,http://iptviptv.site:9694/hls/165/index.m3u8
重庆娱乐,http://iptviptv.site:9694/hls/166/index.m3u8
重庆少儿,http://iptviptv.site:9694/hls/167/index.m3u8
重庆科教,http://iptviptv.site:9694/hls/168/index.m3u8
重庆汽摩,http://iptviptv.site:9694/hls/169/index.m3u8
重庆购物,http://iptviptv.site:9694/hls/170/index.m3u8
重庆新农村,http://iptviptv.site:9694/hls/171/index.m3u8
铜梁综合,http://iptviptv.site:9694/hls/172/index.m3u8
万州综合,http://iptviptv.site:9694/hls/173/index.m3u8
万州科教,http://iptviptv.site:9694/hls/174/index.m3u8
万州影视,http://iptviptv.site:9694/hls/175/index.m3u8
万州三峡移民,http://iptviptv.site:9694/hls/176/index.m3u8
武隆综合频道,http://iptviptv.site:9694/hls/177/index.m3u8
江津新闻综合,http://iptviptv.site:9694/hls/179/index.m3u8
垫江综合,http://iptviptv.site:9694/hls/180/index.m3u8
巫山综合,http://iptviptv.site:9694/hls/181/index.m3u8
扬州1,http://iptviptv.site:9694/hls/182/index.m3u8
扬州2,http://iptviptv.site:9694/hls/183/index.m3u8
扬州3,http://iptviptv.site:9694/hls/184/index.m3u8
梁平综合,http://iptviptv.site:9694/hls/185/index.m3u8
永川综合,http://iptviptv.site:9694/hls/186/index.m3u8
酉阳综合,http://iptviptv.site:9694/hls/187/index.m3u8
浙江新闻,http://iptviptv.site:9694/hls/188/index.m3u8
浙江体育,http://iptviptv.site:9694/hls/189/index.m3u8
浙江教科,http://iptviptv.site:9694/hls/190/index.m3u8
浙江经济,http://iptviptv.site:9694/hls/191/index.m3u8
浙江科教,http://iptviptv.site:9694/hls/192/index.m3u8
浙江钱江,http://iptviptv.site:9694/hls/193/index.m3u8
浙江少儿,http://iptviptv.site:9694/hls/194/index.m3u8
浙江数码,http://iptviptv.site:9694/hls/195/index.m3u8
杭州TV-1,综合,http://iptviptv.site:9694/hls/196/index.m3u8
杭州TV-2,明珠,http://iptviptv.site:9694/hls/197/index.m3u8
杭州TV-3,生活,http://iptviptv.site:9694/hls/198/index.m3u8
杭州TV-4,影视,http://iptviptv.site:9694/hls/199/index.m3u8
杭州TV-5,青少·体育,http://iptviptv.site:9694/hls/200/index.m3u8
杭州萧山综合,http://iptviptv.site:9694/hls/201/index.m3u8
浙江国际,http://iptviptv.site:9694/hls/202/index.m3u8
浙江民生休闲,http://iptviptv.site:9694/hls/203/index.m3u8
浙江舟山,http://iptviptv.site:9694/hls/204/index.m3u8
